Comcd,PredicScore
C000020,70.8
C000088,73.35
C000089,61.55
C002055,74.35
C002106,73.15
C002138,72.0
C002288,57.7
C002359,60.35
C002475,74.5
C002587,71.9
C002618,67.85
C002654,73.65
C002681,68.9
C002792,69.1
C002815,74.9
C002835,69.5
C002885,72.75
C002930,72.95
C300083,72.95
C300134,68.45
C300297,75.2
C300322,72.6
C300389,72.95
C300408,71.05
C300460,70.0
C300468,68.65
C300518,73.9
C300532,70.8
C300533,71.5
C300543,71.7
C300546,70.6
C300561,69.3
C300570,66.9
C300686,59.2
C300687,71.5
C600183,76.45
C601333,71.55
C603920,69.65
