Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
WeBank,https://www.crunchbase.com/organization/webank,"Banking, Finance, Financial Services, Online Portals","2,279",6,$500M to $1B,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,1001-5000,Min Gu,1,1200000000,CNY,182789180,,2016-06-06,1200000000,CNY,182789180,Venture - Series Unknown,1200000000,CNY,182789180,Venture - Series Unknown,1200000000,CNY,182789180,Tencent Holdings,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"2,401",,-0.3,-1.2,2.6,"144,448","214,840.87",-57.66%,83,24.86%,2.94,-1.27%,26.26%,-14.84%,"323,210","157,750",95.34%,12,,"94,130",,0,0,,Scientific and electric apparatus and instruments,,,,2014-12-01,month,,,For Profit,,,,,"Financial Services, Internet Services, Lending and Investments"
Linklogis,https://www.crunchbase.com/organization/linklogis,"Finance, Financial Services, Supply Chain Management","10,537",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Song Qun,3,265145174,USD,265145174,Late Stage Venture,2018-10-15,220000000,USD,220000000,Series C,220000000,USD,220000000,Series C,265145174,USD,265145174,"Bertelsmann Asia Investments, China Merchants Capital, CITIC Capital Holdings, GIC, Tencent Holdings",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"10,883",,-0.4,-0.6,-0.3,"1,387","2,481.39",-64.52%,20,-80.98%,1.94,-44.53%,43.17%,0.77%,"9,754,331","5,739,888",142.98%,7,,,,,,,,,,,2016-01-01,year,,,For Profit,,,,,"Financial Services, Transportation"
Feidee,https://www.crunchbase.com/organization/feidee,"Enterprise, Finance, FinTech, Management Information Systems","11,505",2,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Gu Feng,3,210000000,USD,210000000,Late Stage Venture,2017-09-25,200000000,USD,200000000,Series C,200000000,USD,200000000,Series C,210000000,USD,210000000,"Fosun Group, Kohlberg Kravis Roberts, Sequoia Capital, Sequoia Capital China, Source Code Capital",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"11,875",,-0.5,-0.2,-0.5,"492,467","521,976.33",-0.79%,36,-31.99%,1.41,-54.08%,53.75%,9.96%,"165,101","49,730",43.1%,18,12,0,8,,,,,,,,2010-01-01,year,,,For Profit,,,,,"Financial Services, Information Technology"
Dashu Finance,https://www.crunchbase.com/organization/dashu-finance,"Finance, FinTech, Internet","17,171",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,1001-5000,"Chen Zhijian, Robert Liu",3,211000000,USD,211000000,Late Stage Venture,2017-07-10,118000000,USD,118000000,Series C,118000000,USD,118000000,Series C,211000000,USD,211000000,"PAG, Primavera Capital Group, Sequoia Capital China",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"17,695",,-0.4,-0.2,0.2,"29,391","32,298.93",-25.3%,522,-19.63%,7.65,-20.87%,13.62%,0.12%,"848,349","240,275",39.51%,5,2,"1,037",,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Financial Services, Internet Services"
Zhongshunyi Financial,https://www.crunchbase.com/organization/zhongshunyi-financial,"Finance, Financial Services","19,193",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,300000000,CNY,44666785,Early Stage Venture,2019-04-10,300000000,CNY,44666785,Series A,300000000,CNY,44666785,Series A,300000000,CNY,44666785,"CITIC Trust, NetEase Capital, S.F. Express",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"19,768",,-0.3,-1.4,9.8,"13,294","11,256.44",-6.64%,581,-33.66%,6.52,-15.74%,24.43%,-0.48%,"1,572,414","195,422",14.19%,3,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
iBoxPay,https://www.crunchbase.com/organization/iboxpay,"Finance, FinTech, Internet, Mobile Payments","19,695",1,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,251-500,Hansen Han,3,12197833,USD,12197833,Early Stage Venture,2013-07-01,10000000,USD,10000000,Series B,10000000,USD,10000000,Series B,12197833,USD,12197833,"Atomico, GSR Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"20,287",,-0.3,-0.2,-0.3,"79,095","204,333.54",-23.12%,"1,008",-2.59%,16.21,22.55%,15.24%,3.96%,"294,481","38,318",14.96%,17,,,8,,,,,,,,2011-01-01,year,,,For Profit,,,,,"Financial Services, Internet Services, Mobile, Payments, Software"
iGola,https://www.crunchbase.com/organization/igola,"Apps, Finance, Internet","21,461",,$10M to $50M,,,,,,,,,,,,,"Guangzhou, Guangdong, China",2,101-250,"George Zhang, Shixing Yan",1,130000000,CNY,18714999,Early Stage Venture,2016-12-23,130000000,CNY,18714999,Series A,130000000,CNY,18714999,Series A,130000000,CNY,18714999,Rich Land Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"22,103",,-0.1,2,0,"33,921","38,808.86",-49.01%,453,0.11%,5.59,-4.36%,17.44%,0.77%,"758,067","356,015",88.55%,5,4,"42,025",,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Apps, Financial Services, Internet Services, Software"
Yeahka,https://www.crunchbase.com/organization/yeahka,"Finance, FinTech, Mobile Payments","21,936",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Luke Liu,3,42123292,USD,42123292,,2012-07-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,42123292,USD,42123292,"Infinity Ventures, Tencent Industry Win-Win Fund",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"22,593",,-0.2,-0.1,-0.4,"228,368","173,318.98",163.68%,84,-69.6%,2.62,-57.69%,39.51%,28.84%,"255,055","-99,305",-28.02%,12,,,4,,,,,,,,2011-01-01,year,,,For Profit,,,,,"Financial Services, Mobile, Payments, Software"
Xiaoyusan,https://www.crunchbase.com/organization/xiaoyusan,"Finance, Insurance, Life Insurance","23,419",,$1M to $10M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,,Yao Guang,1,100000000,CNY,14527915,Early Stage Venture,2017-03-22,100000000,CNY,14527915,Series B,100000000,CNY,14527915,Series B,100000000,CNY,14527915,"Matrix Partners China, Tasly Pharmaceutical",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"24,119",,0.2,-0.3,0.2,"17,052","54,279.65",-49.9%,262,-17.54%,4.36,-6.98%,43.75%,12%,"1,309,188","541,989",70.65%,6,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,Financial Services
Babel Bank,https://www.crunchbase.com/organization/babel-bank,"Blockchain, Finance","25,648",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,2,2000000,USD,2000000,Seed,2018-11-01,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,"Collinstar Capital, Lightspeed China Partners, Next Generation Capital, ZhenFund",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"26,418",,0.1,1.4,3,"1,130",746.56,-7.8%,48,-42.92%,1.69,-42.74%,69.74%,36.09%,"11,396,426","2,160,208",23.39%,5,,,,,,,,,,,2018-01-01,year,,,,,,,,Financial Services
