Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Techpack,https://www.crunchbase.com/organization/techpack,Manufacturing,"534,702",,,,,,,,,,,,,,,"Gangmei, Guangdong, China",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Techpack acquired by Dongwon Systems Corporation,https://www.crunchbase.com/acquisition/dongwon-systems-corporation-acquires-techpack--b09a3418,Dongwon Systems Corporation,https://www.crunchbase.com/organization/dongwon-systems-corporation,12/8/14,day,243000000,USD,243000000,Acquisition,,Private,,,,,,,,,,,,,,"572,057",,-0.2,-0.6,2.6,,,,,,,,,,,,,8,,,,,,,,,,,1/1/56,year,12/8/14,day,For Profit,,,,,Manufacturing
"Gemstar Technology (China) Co., Ltd.",https://www.crunchbase.com/organization/gemstar-technology-china-co-ltd,"Electronics, Manufacturing","262,488",,,,,,,,,,,,,,,"Panyu, Guangdong, China",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,"Gemstar Technology (China) Co., Ltd. acquired by Universal Electronics Inc.",https://www.crunchbase.com/acquisition/universal-electronics-inc-acquires-gemstar-technology-china-co-ltd--9ab91574,Universal Electronics Inc.,https://www.crunchbase.com/organization/universal-electronics-inc,4/11/10,day,95000000,USD,95000000,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,,"283,113",,-0.2,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,1/1/92,year,4/11/10,day,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing"
Acare Medical Science,https://www.crunchbase.com/organization/acare-medical-science,"Health Care, Manufacturing, Medical","296,447",1,,,,,,,,,,,,,,"Zhuhai, Guangdong, China",,101-250,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Acare Medical Science acquired by Getinge,https://www.crunchbase.com/acquisition/getinge-acquires-acare-medical-science--cb587aca,Getinge,https://www.crunchbase.com/organization/getinge,4/7/12,day,180000000,SEK,26027982,Acquisition,Cash,Private,,,,,,,,,,,,,,"319,346",,-0.3,3.4,0,,70.92,,,,,,,,,,,3,,,,,,,,,,,1/1/99,year,4/7/12,day,For Profit,,,,,"Health Care, Manufacturing"
Leju Robotics,https://www.crunchbase.com/organization/leju-robotics,"Consumer Electronics, Machinery Manufacturing, Manufacturing, Robotics","1,837",2,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,251-500,Leng Xiaokun,1,250000000,CNY,36473454,Early Stage Venture,20/6/19,250000000,CNY,36473454,Series B,250000000,CNY,36473454,Series B,250000000,CNY,36473454,"Angel Plus China, Shenzhen Press Group, Tencent Holdings",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"1,939",,9.9,9.9,9.9,"1,838","2,425.12",38.18%,45,-85.73%,3.87,9.48%,44.86%,16.08%,"6,608,565","-1,872,917",-22.08%,23,,,,,,,,,,,1/1/16,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software"
BYD,https://www.crunchbase.com/organization/byd-company,"Automotive, Energy, Manufacturing","1,979",214,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,10001+,Chuan-Fu Wang,1,450000000,USD,450000000,IPO,18/7/16,450000000,USD,450000000,Post-IPO Equity,450000000,USD,450000000,Post-IPO Equity,450000000,USD,450000000,Samsung Electronics,1,1,,,,,,,,,,,,,,Public,8/7/11,,,,,,,,,2594,https://www.crunchbase.com/ipo/byd-company-ipo--841a2119,SHE,3,"2,087",,1.1,7.8,8.1,,,,,,,,,,,,,15,,,,533,32,Basic Electric Elements,Vehicles,,,,1/1/95,year,8/7/11,day,For Profit,,,,,"Energy, Manufacturing, Transportation"
DJI,https://www.crunchbase.com/organization/dji,"Aerospace, Consumer Electronics, Drones, Manufacturing, Photography, Wireless","2,652","2,378",$1B to $10B,3,,1,1,,,,,,,,,"Shenzhen, Guangdong, China",1,10001+,Frank Wang,2,105000000,USD,105000000,,6/5/15,75000000,USD,75000000,Undisclosed,75000000,USD,75000000,Undisclosed,105000000,USD,105000000,"Accel, Lighthouse Capital Management, Sequoia Capital China",2,3,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,27,"2,788",,1.3,3.6,-2.7,"10,762,251","9,540,958.95",28.19%,214,-8.12%,3.87,-2.74%,45.43%,0.85%,"5,625","-1,453",-20.53%,86,,"1,168,360",32,273,68,Aircraft; Aviation; Cosmonautics,Scientific and electric apparatus and instruments,,,,6/11/06,day,,,For Profit,,,2,,"Consumer Electronics, Consumer Goods, Content and Publishing, Hardware, Manufacturing, Media and Entertainment, Mobile, Science and Engineering"
Immotor,https://www.crunchbase.com/organization/immotor-llc,"Fleet Management, Manufacturing, Transportation","3,086",2,$1M to $10M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",2,101-250,"Daniel Huang, Peter Jiang",5,64322548,USD,64322548,Early Stage Venture,28/5/19,,,,Series B,,,,Series B,64322548,USD,64322548,"China Equity, GGV Capital, Hyundai Motor Company, Samsung Ventures, TransLink Capital",2,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,"3,238",,-1.2,6.2,5.3,209,"1,675.15",236.65%,,,1,0%,100%,0%,"26,867,361","-7,512,183",-21.85%,14,,,,,,,,,,,5/4/16,day,,,For Profit,,,,,"Manufacturing, Transportation"
Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing","3,337",5,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",3,1001-5000,"Tao He, Wei Xia, Xiaopeng He",5,1290700528,USD,1290700528,Early Stage Venture,2/8/18,4000000000,CNY,584513319,Series B,4000000000,CNY,584513319,Series B,1290700528,USD,1290700528,"Alibaba Group, CICC, Lightspeed Venture Partners, Matrix Partners China, UCAR",8,20,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"3,498",,-0.3,-1.1,-2.2,"204,113","249,132.77",-30.50%,263,3%,4.51,1.61%,13.23%,-11.28%,"212,979","56,107",35.77%,15,,,6,,,,,,,,1/1/14,year,,,For Profit,,,,,"Manufacturing, Transportation"
Laidian,https://www.crunchbase.com/organization/laidian,"Information Technology, Manufacturing, Mobile Devices","13,548",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,251-500,Bingsong Yuan,1,20000000,USD,20000000,Early Stage Venture,6/4/17,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,20000000,USD,20000000,"Redpoint, SIG China (SIG Asia Investments)",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"13,977",,-0.2,-0.3,-0.5,"9,969","66,657.85",-10.12%,265,-44.75%,6.9,-39.46%,31.94%,10.67%,"1,672,351","337,616",25.29%,10,1,"24,259",,,,,,,,,1/1/14,year,,,For Profit,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Mobile"
"Shenzhen Lochn Optics Technology Co.,Ltd",https://www.crunchbase.com/organization/shenzhen-lochn-optics-technology-co-ltd,"Augmented Reality, Consumer Electronics, Manufacturing, Product Design, Virtual Reality, Wearables","14,196",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",4,Nov-50,"Axel Wong, Guobin Ma, Kevin Song, Wilson Wang",3,4361034,USD,4361034,Early Stage Venture,5/6/19,10000000,CNY,1447366,Series A,10000000,CNY,1447366,Series A,4361034,USD,4361034,"Jinfu Capital, Junsan Capital, Shunying Capital, Tsing Ventures, VStar Capital",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"14,646",,-0.5,7.6,7.9,932,670.48,331.93%,30,-64.95%,2.98,-66.92%,22.62%,22.62%,"11,204,590","-5,710,573",-33.76%,7,,,,,,,,,,,1/11/14,month,,,For Profit,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Software"
