Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
SinoSheen Internet Investments,https://www.crunchbase.com/organization/sinosheen-internet-investments,"Finance, Information Technology, Venture Capital","420,407",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,11-50,"O.D. Kobo, Roman Abramovich",1,6000000,USD,6000000,M&A,2002-06-01,6000000,USD,6000000,Angel,6000000,USD,6000000,Angel,6000000,USD,6000000,O.D. Kobo,1,1,,Was Acquired,SinoSheen Internet Investments acquired by Fidelity,https://www.crunchbase.com/acquisition/fidelity-investments-acquires-sinosheen-internet-investments--91d51ecd,Fidelity,https://www.crunchbase.com/organization/fidelity-investments,2006-04-01,month,52500000,USD,52500000,Acquisition,,Private,,,,,,,,,,,,,,"450,914",,-0.1,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,1998-06-01,month,2006-04-01,month,For Profit,,,,,"Financial Services, Information Technology, Lending and Investments"
Airwallex,https://www.crunchbase.com/organization/airwallex,"Finance, Financial Services, Payments",671,36,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",5,101-250,"Jack Zhang, Jacob Dai, Ki-Lok Wong, Lucy Yueting Liu, Max Li",6,202000000,USD,202000000,Late Stage Venture,2019-03-26,100000000,USD,100000000,Series C,100000000,USD,100000000,Series C,202000000,USD,202000000,"DST Global, Hillhouse Capital Group, MasterCard, Sequoia Capital, Tencent Holdings",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,714,,0.2,7.5,-4,"61,046","39,732.7",2.04%,302,-22.45%,5.88,-6.19%,33.63%,3.82%,"478,358","28,518",6.34%,53,,,16,,,,,,,,2015-12-01,month,,,For Profit,,,,,"Financial Services, Payments"
DST Global,https://www.crunchbase.com/organization/digital-sky-technologies-fo,"Finance, Financial Services, Internet, Venture Capital","2,177",422,,87,41,18,18,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,11-50,Yuri Milner,2,688000000,USD,688000000,,2010-07-14,388000000,USD,388000000,Undisclosed,388000000,USD,388000000,Undisclosed,688000000,USD,688000000,"Naspers, Tencent Holdings",2,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"2,295",8,-0.4,5.7,-0.4,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01,day,,,For Profit,Corporate Venture Capital,Late Stage Venture,55,,"Financial Services, Internet Services, Lending and Investments"
WeLab,https://www.crunchbase.com/organization/welab,"Finance, FinTech, Lending, Personal Finance","3,520",40,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",4,251-500,"Aananth Solaiyappan, Frances Kang, Kelly Wong, Simon Loong",7,400000000,USD,400000000,Early Stage Venture,2017-11-08,220000000,USD,220000000,Series B,220000000,USD,220000000,Series B,425000000,USD,425000000,"Credit Suisse, ICONIQ Capital, ING Group, Sequoia Capital China, Yuri Milner",4,16,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"3,684",,0.8,-0.4,2.7,"7,896","6,070.52",6.1%,126,-26.82%,4.19,-4.18%,39.54%,17.52%,"2,515,917","61,820",2.52%,27,,,28,,,,,,,,2013-01-01,year,,,For Profit,,,,,Financial Services
Qupital,https://www.crunchbase.com/organization/qupital,"Finance, FinTech, Marketplace, Trading Platform","7,454",4,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",2,101-250,"Andy Chan, Winston Wong",5,17120000,USD,17120000,Early Stage Venture,2019-03-27,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,19970000,USD,19970000,"Alibaba Entrepreneurs Fund, CreditEase Fintech Investment Fund, Gobi Partners, MindWorks Ventures, The Aria Group",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"7,729",,-0.2,-0.7,-4.7,"47,602","19,918.52",3.28%,5,59.81%,1.06,-1.21%,16.19%,-54.61%,"1,246,529","-67,728",-5.15%,40,,,17,,,,,,,,2016-03-01,day,,,For Profit,,,,,"Commerce and Shopping, Financial Services, Lending and Investments"
Lenddo,https://www.crunchbase.com/organization/lenddo,"Credit, Emerging Markets, Finance, FinTech","8,372",86,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,51-100,Richard Eldridge,3,14000000,USD,14000000,Early Stage Venture,2015-10-14,,,,Series B,,,,Series B,14000000,USD,14000000,"Accel, Compound, Golden Gate Ventures, inovia capital, Omidyar Network",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"8,662",,0.8,1,-0.3,"12,535","81,627.1",-8.28%,128,28.18%,1.5,7.96%,61.68%,-1.35%,"2,642,910","104,749",4.13%,32,1,,20,,,,,,,,2011-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments"
EMQ,https://www.crunchbase.com/organization/emq,"Finance, Financial Services, FinTech","10,548",12,$1M to $10M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",1,11-50,Max Liu,2,6500000,USD,6500000,,2018-10-08,,,,Venture - Series Unknown,,,,Venture - Series Unknown,6500000,USD,6500000,500 Startups,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"10,895",,0,0,-0.4,"2,137","4,203.12",-16.76%,562,439.42%,12.37,551.65%,45.15%,2.46%,"4,567,404","-2,441,842",-34.84%,10,,,,,,,,,,,2014-01-01,year,,,For Profit,,,,,Financial Services
Quantifeed,https://www.crunchbase.com/organization/quantifeed,"Banking, Finance, FinTech, Wealth Management","13,385",5,$1M to $10M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",2,11-50,"Alex Ypsilanti, Ross Milward",3,14541250,USD,14541250,Early Stage Venture,2018-06-20,10000000,USD,10000000,Series B,10000000,USD,10000000,Series B,14541250,USD,14541250,"Cathay Financial Holding, Cyberport Hong Kong, Legg Mason, YungPark Capital",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"13,810",,-0.2,0.7,1.1,"1,934","1,309.81",98.62%,145,2.6%,1.8,-20.66%,38.3%,-1.1%,"9,585,926","-2,013,538",-17.36%,16,,,10,,,,,,,,2013-06-01,day,,,For Profit,,,,,"Financial Services, Lending and Investments"
MioTech,https://www.crunchbase.com/organization/miotech,"Artificial Intelligence, Finance, Financial Services, FinTech","13,594",1,$1M to $10M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",2,,"Jianyu Tu, Tao Liu",2,7000000,USD,7000000,Early Stage Venture,2017-10-11,7000000,USD,7000000,Series A,7000000,USD,7000000,Series A,7000000,USD,7000000,"Horizons Ventures, Simon Loong, Wei Guo, ZhenFund",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"14,024",,0,-0.2,-0.3,"9,941","23,684.49",-86.58%,11,-10.13%,1.4,21.08%,45.79%,-12.27%,"3,490,328","2,611,191",297.02%,17,,,3,,,,,,,,2016-01-01,year,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software"
Oddup,https://www.crunchbase.com/organization/oddup,"Analytics, Data Visualization, Finance, Financial Services","16,231",18,$1M to $10M,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",2,11-50,"Jackie Lam, James Giancotti",5,7225000,USD,7225000,Early Stage Venture,2017-04-26,6000000,USD,6000000,Series A,6000000,USD,6000000,Series A,7225000,USD,7225000,"500 Startups, Bennett Coleman and Co Ltd, Carman Chan, Click Ventures, Kima Ventures",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"16,730",,0.1,-0.2,-3.1,"8,003","18,732.6",-75.53%,21,-20.92%,1.86,46.7%,36.26%,-12.17%,"3,361,867","1,879,061",126.72%,30,2,,28,,,,,,,,2015-01-01,month,,,For Profit,,,,,"Data and Analytics, Design, Financial Services, Information Technology, Software"
