Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Hutchison Telecommunications Technology Investments Ltd.,https://www.crunchbase.com/organization/hutchison-telecommunications-technology-investments,"Information Technology, Telecommunications","623,925",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Hutchison Telecommunications Technology Investments Ltd. acquired by PCCW,https://www.crunchbase.com/acquisition/pccw-acquires-hutchison-telecommunications-technology-investments--4f8e0b26,PCCW,https://www.crunchbase.com/organization/pccw,2001-02-22,day,103000000,USD,103000000,Acquisition,,Private,,,,,,,,,,,,,,"667,683",,0.6,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-22,day,For Profit,,,,,"Hardware, Information Technology"
SinoSheen Internet Investments,https://www.crunchbase.com/organization/sinosheen-internet-investments,"Finance, Information Technology, Venture Capital","420,407",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,11-50,"O.D. Kobo, Roman Abramovich",1,6000000,USD,6000000,M&A,2002-06-01,6000000,USD,6000000,Angel,6000000,USD,6000000,Angel,6000000,USD,6000000,O.D. Kobo,1,1,,Was Acquired,SinoSheen Internet Investments acquired by Fidelity,https://www.crunchbase.com/acquisition/fidelity-investments-acquires-sinosheen-internet-investments--91d51ecd,Fidelity,https://www.crunchbase.com/organization/fidelity-investments,2006-04-01,month,52500000,USD,52500000,Acquisition,,Private,,,,,,,,,,,,,,"450,914",,-0.1,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,1998-06-01,month,2006-04-01,month,For Profit,,,,,"Financial Services, Information Technology, Lending and Investments"
m-FINANCE Limited,https://www.crunchbase.com/organization/m-finance-limited,"Information Services, Information Technology","245,781",,,,,,,,,,,,,,,"Sheung Wan, Hong Kong Island, Hong Kong",,101-250,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,m-FINANCE Limited acquired by DTXS Silk Road Investment Holdings Co Ltd.,https://www.crunchbase.com/acquisition/dtxs-silk-road-investment-holdings-co-ltd-acquires-m-finance-limited--6ac7f973,DTXS Silk Road Investment Holdings Co Ltd.,https://www.crunchbase.com/organization/dtxs-silk-road-investment-holdings-co-ltd,2016-07-23,day,40800000,USD,40800000,Acquisition,,Private,,,,,,,,,,,,,,"265,188",,0.1,0,-0.3,"3,843","1,101.35",114.79%,2,-73.88%,1.86,-12.26%,19.45%,0.4%,"6,292,528","-3,247,090",-34.04%,2,19,476,,,,,,,,,2002-01-01,year,2016-07-23,day,For Profit,,,,,Information Technology
ICG,https://www.crunchbase.com/organization/i-consulting-group,"Enterprise, Information Services, Information Technology","152,805",,,,,,,,,,,,,,,"Kwai Tsing, New Territories, Hong Kong",,51-100,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,ICG acquired by Hong Kong Broadband Network,https://www.crunchbase.com/acquisition/hong-kong-broadband-network-acquires-i-consulting-group--49618132,Hong Kong Broadband Network,https://www.crunchbase.com/organization/hong-kong-broadband-network,2018-05-30,day,200000000,HKD,25487934,Acquisition,,Private,,,,,,,,,,,,,,"164,150",,0.2,0.9,2.5,"2,724","1,905.8",30.29%,248,85.04%,2.29,-1.54%,28.65%,-10.57%,"6,521,557","-1,223,501",-15.8%,22,,,,,,,,,,,2003-01-01,month,2018-05-30,day,For Profit,,,,,Information Technology
cherrypicks alpha,https://www.crunchbase.com/organization/cherrypicks-alpha,Information Technology,"290,936",,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",,11-50,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,cherrypicks alpha acquired by NetDragon Websoft,https://www.crunchbase.com/acquisition/netdragon-websoft-acquires-cherrypicks-alpha--5ba31557,NetDragon Websoft,https://www.crunchbase.com/organization/netdragon-websoft,2016-04-25,day,6000000,USD,6000000,Acquisition,Cash,Private,,,,,,,,,,,,,,"313,485",,-0.2,0,-0.3,,,,,,,,,,,,,10,,,,,,,,,,,2014-01-01,year,2016-04-25,day,For Profit,,,,,Information Technology
Alibaba Health Information Technology,https://www.crunchbase.com/organization/alibaba-health-information-technology,"Information Technology, Wellness, Wireless","4,049",18,,2,2,,,,,,,,,,,"Causeway Bay, Hong Kong Island, Hong Kong",,251-500,,1,290000000,USD,290000000,IPO,2019-05-24,290000000,USD,290000000,Post-IPO Equity,290000000,USD,290000000,Post-IPO Equity,290000000,USD,290000000,"Alibaba Group, Ant Financial",2,2,,,,,,,,,,,,,,Public,1996-05-01,,,,,,,,,0241,https://www.crunchbase.com/ipo/alibaba-health-information-technology-ipo--e29259e8,HKG,,"4,228",,-0.9,-1.1,9.6,"266,457","121,397.76",272.82%,151,606.85%,1.38,-16.38%,42.13%,16.8%,"321,856","-394,493",-55.07%,8,,"23,327",,,,,,,,,1998-01-01,year,1996-05-01,day,For Profit,Venture Capital,,2,,"Hardware, Health Care, Information Technology, Mobile"
Know Your Customer,https://www.crunchbase.com/organization/know-your-customer,"Compliance, FinTech, Information Technology, SaaS, Software","7,867",9,$1M to $10M,,,,,,,,,,,,,"Causeway Bay, Hong Kong Island, Hong Kong",3,11-50,"Claus Christensen, Cormac Doddy, Richard Barrett",2,3948259,USD,3948259,Seed,2019-04-30,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,3948259,USD,3948259,CLSA,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,"8,144",,-1.5,-2.3,4.9,"7,470","8,613.83",-10.4%,507,7.58%,5.34,27.03%,24.77%,1.91%,"2,420,994","-11,091",-0.46%,49,,,,,,,,,,,2015-09-29,day,,,For Profit,,,,,"Financial Services, Information Technology, Professional Services, Software"
Banuba,https://www.crunchbase.com/organization/banuba,"Artificial Intelligence, Augmented Reality, Information Technology, Machine Learning","8,491",3,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,11-50,Viktor Prokopenya,2,12000000,USD,12000000,,2018-11-26,7000000,USD,7000000,Venture - Series Unknown,7000000,USD,7000000,Venture - Series Unknown,12000000,USD,12000000,"Larnabel Ventures, VP Capital",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"8,785",,0.3,0,-0.4,"40,365","21,178.36",150.98%,40,26.23%,1.33,3.96%,58.67%,0.16%,"1,229,614","-1,059,854",-46.29%,31,18,"775,533",19,8,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,2016-06-01,month,,,For Profit,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Crypto.com,https://www.crunchbase.com/organization/monaco-technology-gmbh,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Information Technology, Mobile Payments","10,756",23,,,,,,,,,,,,,,"Sai Wan, Hong Kong Island, Hong Kong",2,101-250,"Kris Marszalek, Rafael Melo",1,2000000,USD,2000000,,2017-05-18,2000000,USD,2000000,Initial Coin Offering,2000000,USD,2000000,Initial Coin Offering,2000000,USD,2000000,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,6,"11,112",,0.6,0.9,-0.7,"733,081","497,038.05",45.83%,136,12.37%,2.46,10.76%,55.27%,-2.18%,"90,761","-31,537",-25.79%,22,,,10,,,,,,,,2016-06-01,month,,,For Profit,,,,,"Financial Services, Information Technology, Mobile, Payments, Software"
AERGO,https://www.crunchbase.com/organization/aergo-e080,"Blockchain, Cryptocurrency, Information Technology","10,894",,,,,,,,,,,,,,,"Wan Chai, Hong Kong Island, Hong Kong",2,101-250,"Phil Zamani, Won-Beom Kim",1,30000000,USD,30000000,,2018-11-16,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,"Dekrypt Capital, JRR Crypto, NEO Global Capital (NGC), Rockaway Capital, Sequoia Capital China",1,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"11,251",,-0.2,-0.2,-0.4,"8,194","21,043.09",-67.12%,81,-30.6%,2.3,-7.69%,46.36%,13.78%,"2,910,741","1,631,627",127.56%,18,,,,,,,,,,,2018-01-01,year,,,Non-profit,,,,,"Financial Services, Information Technology, Payments, Software"
