Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Radica Games,https://www.crunchbase.com/organization/radica-games,"Electronics, Leisure, Manufacturing","256,862",1,,,,,,,,,,,,,,"Sha Tin, New Territories, Hong Kong",,1001-5000,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Radica Games acquired by Mattel,https://www.crunchbase.com/acquisition/mattel-acquires-radica-games--8c26b0e7,Mattel,https://www.crunchbase.com/organization/mattel,2006-07-06,day,230000000,USD,230000000,Acquisition,Cash,Private,,,,,,,,,,,,,,"277,071",,0.1,1.3,1.2,,837.5,,,,,,,,,,,1,,,,,,,,,,,1983-01-01,year,2006-07-06,day,For Profit,,,,,"Community and Lifestyle, Consumer Electronics, Hardware, Manufacturing"
LTK Wiring,https://www.crunchbase.com/organization/ltk-wiring,Manufacturing,"663,455",,,,,,,,,,,,,,,"Sha Tin, New Territories, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,LTK Wiring acquired by Belden,https://www.crunchbase.com/acquisition/belden-acquires-ltk-wiring--644c5469,Belden,https://www.crunchbase.com/organization/belden,2007-02-07,day,195000000,USD,195000000,Acquisition,Cash,Private,,,,,,,,,,,,,,"710,562",,-0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-07,day,For Profit,,,,,Manufacturing
Varitronix International Ltd,https://www.crunchbase.com/organization/varitronix-inttdernational-ltd,"Electrical Distribution, Manufacturing","146,246",,,,,,,,,,,,,,,"Kwun Tong, Kowloon, Hong Kong",,1001-5000,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Varitronix International Ltd acquired by BOE Technology Group,https://www.crunchbase.com/acquisition/boe-technology-group-acquires-varitronix-inttdernational-ltd--2d967dd1,BOE Technology Group,https://www.crunchbase.com/organization/boe-technology-group,2016-04-28,day,1400000000,HKD,180470628,Acquisition,,Public,1999-02-05,,,,,,,,,0710,https://www.crunchbase.com/ipo/varitronix-inttdernational-ltd-ipo--915aea81,HKG,,"156,883",,2,2,2,816,494.14,"1,949.06%",39,247.02%,3.39,126.12%,41.74%,-8.26%,"11,168,507","-24,344,492",-68.55%,1,,,3,,,,,,,,1978-01-01,year,1999-02-05,day,For Profit,,,,,"Energy, Manufacturing"
Pantronics Holdings Ltd.,https://www.crunchbase.com/organization/pantronics-holdings-ltd,"Electronics, Manufacturing, Service Industry","197,408",,,,,,,,,,,,,,,"Tsuen Wan, New Territories, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Pantronics Holdings Ltd. acquired by Huobi,https://www.crunchbase.com/acquisition/huobi-acquires-pantronics-holdings-ltd--76b09ec5,Huobi,https://www.crunchbase.com/organization/huobi,2018-08-28,day,70000000,USD,70000000,Acquisition,,Private,,,,,,,,,,,,,,"212,836",,0.4,-0.3,-0.3,,197.13,-100%,,,,,,,,,,2,,,,,,,,,,,1983-01-01,year,2018-08-28,day,,,,,,"Consumer Electronics, Hardware, Manufacturing"
POSH Office Systems,https://www.crunchbase.com/organization/posh-office-systems,"Furniture, Manufacturing","242,848",,,,,,,,,,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",,11-50,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,POSH Office Systems acquired by Herman Miller,https://www.crunchbase.com/acquisition/herman-miller-acquires-posh-office-systems--19d7da57,Herman Miller,https://www.crunchbase.com/organization/herman-miller,2012-04-03,day,50000000,USD,50000000,Acquisition,,Private,,,,,,,,,,,,,,"262,014",,-0.4,3.8,3.8,"4,193","4,628.59",0.64%,120,2.75%,4.72,-19.56%,25.84%,9.52%,"3,669,637","171,047",4.89%,15,,,,,,,,,,,1995-01-01,year,2012-04-03,day,For Profit,,,,,"Consumer Goods, Manufacturing"
Arlec Power Group,https://www.crunchbase.com/organization/arlec-power-group,"Electronics, Energy, Manufacturing","539,753",,,,,,,,,,,,,,,"Kwun Tong, Kowloon, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Arlec Power Group acquired by Stadium Group,https://www.crunchbase.com/acquisition/stadium-group-acquires-arlec-power-group--13eadce7,Stadium Group,https://www.crunchbase.com/organization/stadium-group,2000-04-10,day,4000000,GBP,6331778,Acquisition,Cash,Private,,,,,,,,,,,,,,"577,439",,-0.4,-0.9,-0.4,,,,,,,,,,,,,,,,,,,,,,,,1996-01-01,year,2000-04-10,day,,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing"
Dolphin Products,https://www.crunchbase.com/organization/dolphin-products,Manufacturing,"650,032",,,,,,,,,,,,,,,"Sha Tin, New Territories, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,Dolphin Products acquired by Gaming Partners International,https://www.crunchbase.com/acquisition/gaming-partners-international-acquires-dolphin-products--59596393,Gaming Partners International,https://www.crunchbase.com/organization/gaming-partners-international,2016-05-16,day,5900000,USD,5900000,Acquisition,,Private,,,,,,,,,,,,,,"695,971",,-0.1,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01,year,2016-05-16,day,For Profit,,,,,Manufacturing
Yuneec,https://www.crunchbase.com/organization/yuneec,"Drones, Electronics, Manufacturing","8,890",1,$50M to $100M,1,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",1,1001-5000,Tian Yu,1,60000000,USD,60000000,,2015-08-26,60000000,USD,60000000,Venture - Series Unknown,60000000,USD,60000000,Venture - Series Unknown,60000000,USD,60000000,Intel Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,"9,193",,0.2,-0.1,-0.4,"188,517","205,831.58",5.91%,207,7.39%,3.52,4.04%,44.06%,0.82%,"245,459","-2,859",-1.15%,24,7,"4,461",15,,,,,,,,1999-01-01,year,,,For Profit,,,1,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing"
Wikifactory,https://www.crunchbase.com/organization/wikifactory,"3D Technology, CAD, Communities, Internet, Manufacturing, Product Design","14,044",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",4,11-50,"Christina Rebel, Maximilian Kampik, Nicolai Peitersen, Tom Salfield",2,1549000,USD,1549000,Seed,2018-10-15,1312000,USD,1312000,Seed,1312000,USD,1312000,Seed,1549000,USD,1549000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"14,486",,0.8,4,9.5,"37,982","19,023.32",96.21%,154,-24.09%,3.63,0.32%,41.07%,-8.2%,"859,067","-424,470",-33.07%,30,,,1,,,,,,,,2018-01-01,year,,,For Profit,,,,,"Community and Lifestyle, Design, Hardware, Internet Services, Manufacturing, Software"
Evoke Electric Motorcycles,https://www.crunchbase.com/organization/evoke-electric-motorcycles,"Automotive, Consumer Electronics, Electronics, Embedded Software, Energy, Energy Management, Energy Storage, Hardware, Manufacturing, Software","26,540",13,Less than $1M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,11-50,"Chris Riether, Nathan Siy, Sebastian Chrobok",3,5329999,CNY,817761,Seed,2017-01-06,2049999,CNY,296306,Seed,2049999,CNY,296306,Seed,5329999,CNY,817761,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"27,336",,-0.1,-0.3,2.7,"15,622","14,152.43",-48.27%,46,-6.71%,2.35,-13.17%,48.29%,18.66%,"1,898,415","709,280",59.65%,25,,,,,,,,,,,2016-01-18,day,,,For Profit,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Software, Transportation"
