公司代码()_CompanyCode,上市公司代码_Comcd,最新公司全称_Lcomnm,行业_Industry,A股股票代码_A_Stkcd,B股股票代码_B_Stkcd,H股股票代码_H_stkcd,上市标识_Lstflg,截止日期_Enddt,报表类型_Reporttype,每股收益(元/股)_BasicEPS,稀释每股收益(元/股)_DilutEPS,每股收益(期末股本摊薄)(元/股)_EPS,每股收益(TTM)(元/股)_EPSTTM,每股净资产(元/股)_NAPS,每股营业总收入(元/股)_ToloperevPS,每股营业收入(元/股)_MincmPS,每股营业收入(TTM)(元/股)_MincmPSTTM,每股营业利润(元/股)_OpeprfPS,每股息税前利润(元/股)_EBITPS,每股资本公积金(元/股)_CapsurfdPS,每股盈余公积金(元/股)_SurrefdPS,每股公积金(元/股)_AccumfdPS,每股未分配利润(元/股)_UndivprfPS,每股留存收益(元/股)_RetearPS,每股经营活动现金流量(元/股)_OpeCFPS,每股经营活动现金流量(TTM)(元/股)_OpeCFPSTTM,每股净现金流量(元/股)_CFPS,每股净现金流量(TTM)(元/股)_CFPSTTM,每股企业自由现金流量(元/股)_EntfcfPS,每股股东自由现金流量(元/股)_ShrhfcfPS,净资产收益率(平均)(%)_AvgROE,净资产收益率(加权)(%)_WROE,净资产收益率(摊薄)(%)_ROE,净资产收益率(扣除，摊薄)(%)_ROEcut,净资产收益率(扣除，加权)(%)_WROEcut,净资产收益率(TTM)(%)_ROETTM,资产报酬率(%)_ROAEBIT,资产报酬率(TTM)(%)_ROAEBITTTM,资产净利率(%)_ROA,资产净利率(TTM)(%)_ROATTM,投入资本回报率(%)_ROIC,销售净利率(%)_Netprfrt,销售净利率(TTM)(%)_NetprfrtTTM,销售毛利率(%)_Gincmrt,销售毛利率(TTM)(%)_GincmrtTTM,销售成本率(%)_Salcostrt,销售期间费用率(%)_Pdcostrt,销售期间费用率(TTM)(%)_PdcostrtTTM,净利润/营业总收入_NprTOR,净利润/营业总收入(TTM)_NprTORTTM,营业利润/营业总收入_OpeprTOR,营业利润/营业总收入(TTM)_OpeprTORTTM,息税前利润/营业总收入(%)_EBITTOR,息税前利润/营业总收入(TTM)(%)_EBITTORTTM,营业总成本/营业总收入(%)_TopecostTOR,营业总成本/营业总收入(TTM)(%)_TopecostTORTTM,销售费用率(%)_Opeexprt,销售费用率(TTM)(%)_OpeexprtTTM,管理费用率(%)_Admexprt,管理费用率(TTM)(%)_AdmexprtTTM,财务费用率(%)_Finexprt,财务费用率(TTM)(%)_FinexprtTTM,资产减值损失/营业总收入_AstimpaTOR,资产减值损失/营业总收入(TTM)_AstimpaTORTTM,净利润_Netprf,扣除非经常性损益后的净利润_Netprfcut,息税前利润_EBIT,息税折旧摊销前利润_EBITDA,营业利润率(%)_Opeprfrt,成本费用利润率(%)_Totprfcostrt,流动比率(%)_Currt,速动比率(%)_Qckrt,超速动比率(%)_Supqckrt,产权比率(%)_Dbequrt,股东权益/负债合计_Equtotlia,股东权益/带息债务(%)_Equintdb,有形净值债务率(%)_Dbtanequrt,有形净值/带息债务(%)_Tanastintdb,有形净值/净债务(%)_Tanastndb,息税折旧摊销前利润/负债合计_EBITDAtotlia,经营净现金流量/负债合计_NOCFtotlia,经营净现金流量/带息债务_NOCFintdb,经营净现金流量/流动负债_NOCFtotcurlia,经营净现金流量/净债务_NOCFndb,利息保障倍数_Intcvr,长期负债与营运资金比率(NULL)_Ldbwrkcap,现金流动负债比_OpeCcurdb,每股收益增长率(%)_EPSgrrt,稀释每股收益增长率(%)_DilutEPSgrrt,营业收入增长率(%)_Opeincmgrrt,营业收入3年复合增长率()_OperaInc3GrRt,营业利润增长率(%)_Opeprfgrrt,利润总额增长率(%)_Totprfgrrt,净利润增长率(%)_Netprfgrrt,归属母公司的净利润增长率(%)_NPPCgrrt,归属母公司的净利润(扣除)增长率(%)_NPPCcutgrrt,归属母公司股东的净利润3年复合增长率()_NetProfShareGrRt,归属母公司的净利润过去五年平均增幅(%)_NPPCavggrrt,经营活动现金流量净额增长率(%)_NOCFgrrt,每股经营活动现金流量增长率(%)_OpeCPSgrrt,净资产收益率(摊薄)增长率(%)_ROAgrrt,净资产增长率(%)_Netassgrrt,总资产增长率(%)_Totassgrrt,每股净资产相对年初增长率(%)_NAPSgrrt,股东权益相对年初增长率(%)_EquYTDgrrt,资产总计相对年初增长率(%)_TotastYTDgrrt,可持续增长率(%)_Susgrrt,营业周期(天/次)_Opecyc,存货周转率(次)_Invtrtrrat,存货周转天数(天/次)_invtrtrday,应收账款周转率(次)_ARTrat,应收账款周转天数(天/次)_ARTday,应付账款周转率(次)_AccrPayrat,应付账款周转天数(天/次)_AccrPayday,流动资产周转率(次)_Currat,固定资产周转率(次)_Fixassrat,股东权益周转率(次)_Equrat,总资产周转率(次)_Totassrat,销售商品劳务收入现金/营业收入(%)_SalesevOpeincm,销售商品劳务收入现金/营业收入(TTM)(%)_SalesevOpeincmTTM,销售现金比率(%)_Casrtsale,销售现金比率(TTM)(%)_CasrtsaleTTM,经营现金净流量/经营净收益(%)_NOCFONI,经营现金净流量/经营净收益(TTM)(%)_NOCFONITTM,资本支出/折旧和摊销_CapexpDM,现金及其等价物净增加额(元)_CCEinc,经营现金净流量(元)_NOCF,销售商品劳务收入现金(元)_Salesevcash,自由现金流量(元)_FreeCF,净利润现金含量(元)_Netprfcascvr,营业收入现金含量(%)_Opeincmcashcvr,总资产现金回收率(%)_OpeCass,每股现金及现金等价物余额(元/股)_CCEPS,每股股利(元/股)_DivPS,股利保障倍数(倍)_Divcvr,现金股利保障倍数(倍)_Cashdivcvr,股利支付率(%)_Divprt,留存盈余比率(%)_Retearrt,资产负债率(%)_Dbastrt,流动资产/总资产(%)_Curtotast,非流动资产/总资产(%)_Noncurtotast,固定资产比率(%)_Fixassrt,无形资产比率(%)_Intanassrt,长期借款/总资产(%)_Ldbass,应付债券/总资产(%)_Bdpayass,股东权益/全部投入资本(%)_Equtotcap,带息债务/全部投入资本(%)_Intdbtotcap,流动负债/负债合计(%)_Curtotlia,非流动负债/负债合计(%)_Noncurtotlia,股东权益比率(%)_Equass,权益乘数(%)_Equmul,营运资金(元)_Wrkcap,长期负债/股东权益_Ldbequ,长期资产适合率(%)_Lassfitass,经营活动净收益／利润总额(%)_OPItprf,经营活动净收益／利润总额(TTM)(%)_OPItprfTTM,对联营合营公司投资收益/利润总额(%)_Invretassoctprf,对联营合营公司投资收益/利润总额(TTM)(%)_InvretassoctprfTTM,价值变动净收益／利润总额(%)_Valchgtprf,价值变动净收益／利润总额(TTM)(%)_ValchgtprfTTM,营业外收支净额／利润总额(%)_Noopenitprf,营业外收支净额／利润总额(TTM)(%)_NoopenitprfTTM,所得税／利润总额(%)_Taxtprf,扣除非经常损益后的净利润／净利润(%)_Nprfcutnprf,权益乘数(杜邦分析)(%)_EqumulDP,归属母公司股东的净利润/净利润(%)_NPPCNPDP,净利润/营业总收入(%)_NPTOIDP,净利润/利润总额(%)_NPTPDP,利润总额/息税前利润(%)_TPEBITDDP,息税前利润/营业总收入(%)_EBITTOIDDP
39,C000016,康佳集团股份有限公司,2,16,200016,,AB,31/12/18,Q4,0.1708,0.1708,0.1708,0.1708,3.3658,19.1561,19.1561,19.1561,0.0557,0.4059,0.0865,0.5098,0.5963,1.7739,2.2837,-1.3413,-1.3413,0.1396,0.1396,2.6443,5.3299,5.1095,5.11,5.0747,-9.814,-9.88,5.1095,3.4569,3.4569,2.365,2.027,7.6157,1.4495,1.4495,6.2852,6.2852,93.7148,7.2046,7.2046,1.4495,1.4495,0.291,0.291,2.1188,2.1188,102.4651,102.4651,4.9476,4.9476,1.3916,1.3916,0.8654,0.8654,0.4918,0.4918,411289744.7,-795400491.4,977337135.9,1255225161,0.291,0.9772,0.9633,0.7213,0.5354,290.3696,34.4389,37.2921,408.5277,26.5062,33.1356,0.0502,-0.1372,-0.1486,-0.1424,-0.1858,1.8707,,-0.1424,-91.8671,-91.8671,47.7109,35.86,-97.9637,-93.1682,-86.8559,-91.867,-717.5987,168.91,563.6842,25.136,25.1381,-91.9779,1.3834,40.012,1.38,1.3834,40.012,3.4671,73,8.4943,42.3814,11.676,30.8327,,,2.2648,23.0784,5.7304,1.6315,100.5136,100.5136,-7.0021,-7.0021,,,1.7491,336249778,-3229823873,46363698743,822151189.8,-483.0594,100.5136,-11.4241,1.4262,0.1,1.7081,-13.4132,58.5462,41.4538,71.3465,66.2218,33.7782,7.307,2.2367,0.0135,,27.1626,72.8374,96.3548,3.6452,28.6535,3.49,-832536665.7,0.0908,1.8145,-249.9621,-249.9621,4.2074,4.2074,210.6998,210.6998,70.4904,70.4904,-46.9825,-118.9618,3.5123,61.5134,1.4495,146.9825,46.5445,2.1188
43,C000020,深圳中恒华发股份有限公司,1,20,200020,,AB,31/12/18,Q4,0.0116,0.0116,0.0116,0.0116,1.1441,2.2498,2.2498,2.2498,0.0143,0.0591,0.5177,0.2733,0.791,-0.6469,-0.3736,-0.0773,-0.0773,-0.189,-0.189,-0.0704,-0.119,1.0223,1.02,1.0171,0.4738,0.48,1.0223,2.6822,2.6822,0.5285,0.534,2.4669,0.5172,0.5172,11.044,11.044,88.956,9.8787,9.8787,0.5172,0.5172,0.6351,0.6351,2.6248,2.6248,99.5689,99.5689,2.2134,2.2134,6.0459,6.0459,1.6195,1.6195,0.11,0.11,3295022.72,1535043.65,16721273.6,30149902.5,0.6351,0.7293,1.0928,0.8779,0.7707,90.4787,110.5232,116.9707,106.6751,99.2111,113.145,0.1018,-0.0747,-0.0791,-0.0747,-0.0902,1.3786,0.0024,-0.0747,241.1765,241.1765,-25.7556,8.45,-23.9139,81.4227,238.1559,238.1559,-26.1852,178.81,-24.5742,-286.7609,-286.715,234.6825,1.0275,-2.0123,1.02,1.0275,-2.0123,1.0275,114,9.1875,39.1837,4.7971,75.0453,,,1.9063,3.4949,1.9764,1.0218,75.2311,75.2311,-3.4369,-3.4369,-797.167,-797.167,1.1217,-53513764.7,-21894459.66,479256981.4,-122542788,-664.4707,75.2311,-3.512,0.0987,,,,,100,47.5007,51.8969,48.1031,30.4792,6.7763,,,53.9108,46.0892,99.978,0.022,52.4993,1.9048,27192827.95,0.0002,1.7228,59.8118,59.8118,,,7.1089,7.1089,11.8861,11.8861,28.2436,46.5867,1.9342,100,0.5172,71.7564,27.4618,2.6248
44,C000021,深圳长城开发科技股份有限公司,3,21,,,A,31/12/18,Q4,0.3603,0.3603,0.3603,0.3603,4.2725,10.9165,10.9165,10.9165,0.4753,0.5188,0.5267,0.7548,1.2815,1.8304,2.5851,0.286,0.286,0.1341,0.1341,-0.4651,-1.2649,8.7308,8.67,8.4327,-0.9769,-1,8.7308,4.7497,4.7497,3.5183,3.6383,4.6262,3.5202,3.5202,4.7006,4.7006,95.2994,1.8849,1.8849,3.5202,3.5202,4.3544,4.3544,4.7522,4.7522,99.0616,99.0616,0.3665,0.3665,2.5747,2.5747,-1.0564,-1.0564,0.2284,0.2284,530073217.3,-61409211.42,763255667.6,1292805660,4.3544,4.4777,1.1195,0.8758,0.6663,145.6058,68.6786,93.5521,167.3174,81.4125,596.9216,0.1325,0.046,0.0626,0.0467,0.4591,11.8636,0.1329,0.0467,-2.0658,-2.0658,13.0278,1.49,-4.7169,-4.4811,-1.4852,-2.0746,-177.6829,43.16,59.44,-41.5331,-41.5372,-8.7617,7.3295,-6.3864,7.33,7.3295,-6.3864,6.974,45,7.9645,45.2006,9.8779,,9.6013,37.4953,1.5084,6.4172,2.6454,0.9995,94.575,94.575,2.6198,2.6198,279.1841,279.1841,1.4654,197316894.2,420770432,15189688606,-645078718.8,74.4236,94.575,2.6185,1.2293,0.1,3.6029,2.8599,27.7558,72.2442,58.9001,64.9058,35.0942,16.5215,3.6867,,,48.3343,51.6657,98.4372,1.5628,41.0999,2.4331,1076286364,0.0224,1.7122,21.5639,21.5639,9.1476,9.1476,5.1226,5.1226,-0.0633,-0.0633,19.1077,-10.8617,2.6468,93.7565,3.5202,80.8923,91.5708,4.7522
66,C000045,深圳市纺织(集团)股份有限公司,3,45,200045,,AB,31/12/18,Q4,-0.04,-0.04,-0.0449,-0.0449,4.642,2.4886,2.4886,2.4886,-0.1065,-0.1304,3.6492,0.1565,3.8056,-0.113,0.0435,-0.9007,-0.9007,-0.0541,-0.0541,0.1213,0.7048,-0.9634,-0.96,-0.9683,-2.7558,-2.74,-0.9634,-1.5129,-1.5129,-1.4136,-1.3488,-2.885,-4.8966,-4.8966,10.2256,10.2256,89.7744,7.6437,7.6437,-4.8966,-4.8966,-4.281,-4.281,-5.2408,-5.2408,109.7057,109.7057,0.7574,0.7574,6.9627,6.9627,-0.0764,-0.0764,8.3584,8.3584,-22980624.93,-65404429.81,-66682289.95,34567815.72,-4.281,-4.31,2.9308,2.5004,1.1183,48.8648,204.6463,348.7435,49.8178,342.0718,,0.0296,-0.3971,-0.6767,-0.4507,,,0.0699,-0.4507,-140,-140,-13.7704,1.22,-163.2125,-162.8947,-184.5795,-143.5436,-2182.6476,-239.32,-208.2661,-1514.7099,-1514.1577,-143.9876,-1.0071,10.0925,-1,-1.0071,10.0925,,112,3.1935,112.7325,6.6095,,8.2371,43.7052,0.434,1.5479,0.5334,0.2887,92.5947,92.5947,-36.1922,-36.1922,,,3.7572,-27665904.11,-460494321.2,1178134498,-3587388555,,92.5947,-10.448,2.2172,,,,,,25.1066,64.8278,35.1722,21.3863,0.8201,,,77.7156,22.2844,88.1013,11.8987,74.8934,1.3352,1972794996,0.0399,3.3741,,,,,,,,,,,1.8477,36.8854,-4.8966,,,-5.2408
71,C000050,天马微电子股份有限公司,2,50,,,A,31/12/18,Q4,0.4599,0.4599,0.4519,0.4519,12.6969,14.1161,14.1161,14.1161,0.4802,0.88,10.2933,0.0838,10.3771,1.3457,1.4295,1.7407,1.7407,-0.8086,-0.8086,-1.4854,-1.4579,4.2097,3.71,3.5591,-0.1687,-0.18,4.2097,3.1402,3.1402,2.194,1.6388,4.3845,3.4031,3.4031,15.1907,15.1907,84.8093,6.8532,6.8532,3.4031,3.4031,3.4019,3.4019,6.2338,6.2338,100.4756,100.4756,1.6625,1.6625,2.653,2.653,2.5377,2.5377,2.1062,2.1062,925542329.1,-43876608.76,1802279467,5058773825,3.4019,3.8458,0.7662,0.6016,0.5314,130.8695,76.412,123.4476,149.7057,107.9152,130.8107,0.1432,0.1048,0.1692,0.1879,0.2052,2.3014,,0.1879,-31.7048,-31.7048,21.3543,40.03,-41.2116,-39.4743,-35.8832,-15.1746,-111.3185,18.61,38.3818,7.1059,-26.732,-41.3928,44.7336,9.6544,-0.98,44.7336,9.6544,4.6277,110,8.5872,41.9229,5.2179,68.9933,4.817,74.7369,1.9269,1.0523,1.315,0.5037,105.9119,105.9119,12.3315,12.3315,,,1.7526,-1656106697,3565216924,30620754489,929332568.5,362.3632,105.9119,6.2118,1.7989,0.07,6.4557,24.8675,15.4902,84.5098,56.6855,24.2173,75.7827,48.7196,3.5186,0.1802,0.0166,55.2468,44.7532,55.755,44.245,43.3145,2.3087,-4435344213,0.579,1.4023,-13.4926,-13.4926,-0.7669,-0.7669,12.5785,12.5785,3.4956,3.4956,3.4629,-4.4596,2.6105,94.0707,3.4031,96.5371,56.5491,6.2338
79,C000063,中兴通讯股份有限公司,2,63,,763,AH,31/12/18,Q4,-1.67,-1.67,-1.6657,-1.6657,5.46,20.3959,20.3959,20.3959,-0.146,-1.6148,2.7296,0.5545,3.2841,1.6656,2.2201,-2.2,-2.198,-2.1407,,1.7489,3.6181,-25.6072,-26.1,-30.4997,-14.8291,-12.69,-25.6072,-4.9543,-4.9543,-5.0853,-5.3725,-12.3778,-8.1266,-8.1266,32.9137,32.9137,67.0863,15.2218,15.2218,-8.1266,-8.1266,-0.7156,-0.7156,-7.9173,-7.9173,102.5097,102.5097,10.6235,10.6235,4.2701,4.2701,0.3282,0.3282,2.4287,2.4287,-6983662000,-3395500000,-6770328000,-4297932000,-0.7156,-10.443,1.0388,0.759,0.5523,420.9619,23.7551,31.7435,1116.5646,11.9678,18.0437,-0.0446,-0.0956,-0.1278,-0.1031,-0.1926,-11.6755,2.0206,-0.1031,-253.211,-254.6296,-21.4144,-5.14,-109.0245,-209.3955,-229.0178,-252.8765,-475.8579,-229.6,76.7731,-227.6374,-227.907,-311.2914,-27.6466,-10.1495,-27.68,-27.6466,-10.1495,,257,2.2389,160.7932,3.7249,96.6495,,,0.8505,9.7215,3.1355,0.6258,105.9297,105.9297,-10.7766,-10.7766,,,1.9746,-8975158000,-9215386000,90583797000,5541381950,,105.9297,-6.7435,5.0407,,,,,,74.5184,71.7798,28.2202,6.879,6.6165,0.0183,,24.0949,75.9051,92.7241,7.2759,25.4816,3.9244,3470855000,0.2128,3.3554,,,,,,,,,,,5.0108,100.4939,-8.1266,,,-7.9173
81,C000066,中国长城科技集团股份有限公司,3,66,,,A,31/12/18,Q4,0.336,0.336,0.3362,0.3362,2.1254,3.409,3.409,3.409,0.4522,0.4647,0.1894,0.0847,0.2741,0.8233,0.908,0.0153,0.0153,0.0882,0.0882,0.46,0.6851,15.2863,15.082,15.8177,5.246,5.002,15.2863,8.7462,8.7462,6.7707,6.6014,10.9511,10.5536,10.5536,21.9272,21.9272,78.0728,10.2519,10.2519,10.5536,10.5536,13.2648,13.2648,13.6328,13.6328,96.4533,96.4533,3.7683,3.7683,6.0574,6.0574,0.4262,0.4262,0.9539,0.9539,987100274.5,327372794.5,1364575992,1593327450,13.2648,14.9376,1.3195,1.0428,0.4798,149.8569,66.7303,92.2586,167.9907,82.2997,164.3239,0.1698,0.0048,0.0066,0.0063,0.0132,31.0354,0.952,0.0063,64.7059,64.7059,5.2872,-48.42,67.5777,68.9652,51.7582,69.8841,25.9127,402.48,83.8874,111.1409,111.1842,81.6957,-6.5003,5.2668,-6.24,-6.5003,5.2668,13.4733,83,4.3246,83.2466,4.6091,,,,1.1515,5.297,1.5501,0.6416,93.0276,93.0276,0.4482,0.4482,12.6362,12.6362,3.6073,259034820.3,44859987.74,9311577457,-874222567.5,4.2466,93.0276,0.2875,1.0908,0.05,6.7237,0.3056,14.8727,85.1273,58.4406,59.1274,40.8726,11.9958,2.9542,0.0777,,47.9867,52.0133,76.6775,23.3225,41.5594,2.4062,2290972761,0.328,3.3961,26.8824,26.8824,-0.1927,-0.1927,61.7195,61.7195,-0.5397,-0.5397,20.0091,30.9905,2.4161,93.4431,10.5536,79.9909,96.7779,13.6328
86,C000088,深圳市盐田港股份有限公司,1,88,,,A,31/12/18,Q4,0.24,0.24,0.2444,0.2444,3.4692,0.2078,0.2078,0.2078,0.2885,0.3234,0.4099,0.5143,0.9242,1.6022,2.1165,0.0519,0.0519,-0.0457,-0.0457,-0.3849,-0.2525,7.3033,7.31,7.0445,6.5072,6.75,7.3033,6.3994,6.3994,5.2147,4.9524,6.8306,126.8543,126.8543,56.4122,56.4122,43.5878,27.4195,27.4195,126.8543,126.8543,138.8801,138.8801,155.6727,155.6727,73.6999,73.6999,0.9102,0.9102,25.3786,25.3786,1.1306,1.1306,1.5452,1.5452,474644068.5,438443412,628160935.5,695994628.6,138.8801,196.7826,2.2444,2.2432,1.8833,38.0783,262.6167,279.1988,39.4481,269.5038,426.0092,0.2699,0.0393,0.0417,0.2065,0.066,9.7645,3.4242,0.2065,14.2857,14.2857,17.376,17.47,19.2347,19.8882,18.2555,17.3829,11.561,2.9,0.541,1.7244,1.7647,9.0632,7.6287,11.1856,7.62,7.6287,11.1856,7.2732,27,393.6484,0.9145,13.5653,26.5385,,,0.3458,0.3388,0.0621,0.0411,100.4503,100.4503,24.9618,24.9618,94.9114,94.9114,14.2319,-88761325.93,100724316.9,405331032.4,-1049898397,19.6775,100.4503,1.0261,0.3994,0.027,9.0513,1.9208,11.0482,88.9518,24.8228,10.5897,89.4103,18.0527,2.0751,0.1649,0.029,73.6286,26.3714,19.008,80.992,75.1772,1.3302,606849026.4,0.2674,1.4724,18.8221,18.8221,78.6437,78.6437,1.7938,1.7938,0.6082,0.6082,9.2147,85.6544,1.5104,92.7266,126.8543,90.7853,89.7588,155.6727
87,C000089,深圳市机场股份有限公司,1,89,,,A,31/12/18,Q4,0.3257,0.3257,0.3257,0.3257,5.6748,1.7551,1.7551,1.7551,0.4287,0.4033,1.3631,0.4516,1.8147,2.8601,3.3117,0.5143,0.5143,0.2092,0.2092,0.0117,0.0304,5.8579,5.87,5.74,5.3679,5.49,5.8579,6.2255,6.2255,5.1321,5.0679,5.6433,18.9432,18.9432,25.8848,25.8848,74.1152,1.7483,1.7483,18.9432,18.9432,24.4274,24.4274,22.979,22.979,78.1912,78.1912,0.2349,0.2349,2.8814,2.8814,-1.3681,-1.3681,0.0147,0.0147,668007718.9,624705034.6,827068254.7,1303561260,24.4274,32.0932,2.2296,2.2264,1.6005,15.434,647.9188,762.6423,15.9283,738.9756,,0.7257,0.5872,0.6911,0.5888,,,0.0023,0.5888,0.9922,0.9922,8.3961,6.82,-1.3074,-1.3657,1.0049,1.0049,-2.1497,8.58,12.0729,-2.6378,-2.6316,-3.0602,4.1932,2.5659,4.19,4.1932,2.5659,4.4926,39,486.1848,0.7405,9.3856,38.3566,,,0.9234,0.4807,0.3156,0.2709,106.2931,106.2931,29.3016,29.3016,134.357,134.357,1.6108,429106215.3,1054634660,3825738029,-984459997.5,154.6819,106.2931,7.9384,0.4173,0.086,3.7876,5.9798,26.4018,73.5982,13.351,29.6843,70.3157,56.3256,1.8642,,,88.4077,11.5923,99.7203,0.2797,86.649,1.1541,2202416128,0.0004,1.3917,89.5746,89.5746,10.1978,10.1978,0.1467,0.1467,-0.33,-0.33,22.1953,91.6247,1.165,97.9758,18.9432,77.8047,105.9535,22.979
91,C000100,TCL集团股份有限公司,2,100,,,A,31/12/18,Q4,0.2566,0.2562,0.256,0.256,2.2506,8.3727,8.3663,8.3663,0.302,0.4506,0.4426,0.1612,0.6038,0.7381,0.8993,0.7739,0.7739,0.1787,0.1787,0.6047,1.7388,11.5144,11.98,11.3733,5.2055,5.48,11.5144,3.4583,3.4583,2.3028,2.1089,5.4948,3.5861,3.5861,18.3085,18.3085,81.6915,12.4911,12.4911,3.5833,3.5833,3.6071,3.6071,5.3812,5.3812,100.2223,100.2223,7.8336,7.8336,3.79,3.79,0.8579,0.8579,1.3426,1.3426,3468211000,1587391372,6104839000,14075488000,3.6099,4.6311,1.0187,0.7664,0.6537,432.5136,23.1207,40.5352,643.0112,27.2655,42.355,0.1031,0.0795,0.1394,0.133,0.2165,5.2607,36.0343,0.133,17.8145,17.6309,1.5977,2.72,-0.5038,3.2286,14.6838,30.1688,33.3215,10.55,45.0434,13.8656,13.575,26.9795,2.5122,20.2565,2.25,2.5122,20.2565,8.3974,108,5.6408,63.8219,7.9967,45.0186,4.2826,84.0611,1.4145,3.3084,3.7664,0.6427,108.8946,108.8946,9.2507,9.2507,,,4.1149,2421215000,10486579000,1.23E+11,-69305597640,257.9599,108.8946,5.9404,1.8969,0.1,2.5939,7.8429,38.5524,61.4476,68.4216,41.6612,58.3388,18.6669,3.0892,0.1912,0.0674,28.8435,71.1565,59.7726,40.2274,31.5784,3.1667,1472397000,0.8716,1.9914,-5.1017,-5.1017,27.5114,27.5114,15.2778,14.3757,17.2353,17.2353,17.7814,39.0483,5.8607,85.3147,3.5833,82.2186,80.9912,5.3812
