每股净资产(元/股)_NAPS,净资产收益率(TTM)(%)_ROETTM,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,流动比率(%)_Currt,速动比率(%)_Qckrt,利息保障倍数_Intcvr,现金流动负债比_OpeCcurdb,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,流动资产周转率(次)_Currat,总资产周转率(次)_Totassrat,资产负债率(%)_Dbastrt,权益乘数(%)_Equmul
3.3658,5.1095,1.4495,6.2852,0.9633,0.7213,1.8707,-0.1424,8.4943,11.676,2.2648,1.6315,71.3465,3.49
1.1441,1.0223,0.5172,11.044,1.0928,0.8779,1.3786,-0.0747,9.1875,4.7971,1.9063,1.0218,47.5007,1.9048
4.2725,8.7308,3.5202,4.7006,1.1195,0.8758,11.8636,0.0467,7.9645,9.8779,1.5084,0.9995,58.9001,2.4331
4.642,-0.9634,-4.8966,10.2256,2.9308,2.5004,,-0.4507,3.1935,6.6095,0.434,0.2887,25.1066,1.3352
12.6969,4.2097,3.4031,15.1907,0.7662,0.6016,2.3014,0.1879,8.5872,5.2179,1.9269,0.5037,56.6855,2.3087
5.46,-25.6072,-8.1266,32.9137,1.0388,0.759,-11.6755,-0.1031,2.2389,3.7249,0.8505,0.6258,74.5184,3.9244
2.1254,15.2863,10.5536,21.9272,1.3195,1.0428,31.0354,0.0063,4.3246,4.6091,1.1515,0.6416,58.4406,2.4062
3.4692,7.3033,126.8543,56.4122,2.2444,2.2432,9.7645,0.2065,393.6484,13.5653,0.3458,0.0411,24.8228,1.3302
5.6748,5.8579,18.9432,25.8848,2.2296,2.2264,,0.5888,486.1848,9.3856,0.9234,0.2709,13.351,1.1541
2.2506,11.5144,3.5861,18.3085,1.0187,0.7664,5.2607,0.133,5.6408,7.9967,1.4145,0.6427,68.4216,3.1667
4.5852,18.0231,59.1339,60.2604,0.7391,0.7391,11.2106,0.6338,15787.8063,35.0392,1.3668,0.1961,38.3508,1.6221
3.6396,5.9574,7.3809,19.1693,0.8744,0.8283,3.0169,0.1997,26.0442,6.3582,1.8762,0.405,52.2906,2.096
