分数_Score,公司代码()_CompanyCode,上市公司代码_Comcd,最新公司全称_Lcomnm,行业_Industry,创新机构行业分布占比_InnovationInstitutions(%),行业集中度CR8值_CR8IndustryConcentration,周期性行业_PeriodIndustry,劳动力行业分布_LaborIndustryDistribution,高水平人才分布_DistributionOfHighLevelTalents,数据化人才分布_DataTalentDistribution,每股收益(元/股)_BasicEPS,每股净资产(元/股)_NAPS,每股营业总收入(元/股)_ToloperevPS,每股营业利润(元/股)_OpeprfPS,每股息税前利润(元/股)_EBITPS,每股未分配利润(元/股)_UndivprfPS,每股留存收益(元/股)_RetearPS,每股经营活动现金流量(元/股)_OpeCFPS,每股净现金流量(元/股)_CFPS,每股企业自由现金流量(元/股)_EntfcfPS,净资产收益率(平均)(%)_AvgROE,资产净利率(%)_ROA,投入资本回报率(%)_ROIC,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,销售成本率(%)_Salcostrt,营业利润/营业总收入_OpeprTOR,息税前利润/营业总收入(%)_EBITTOR,营业总成本/营业总收入(%)_TopecostTOR,销售费用率(%)_Opeexprt,管理费用率(%)_Admexprt,财务费用率(%)_Finexprt,资产减值损失/营业总收入_AstimpaTOR,净利润_Netprf,息税前利润_EBIT,息税折旧摊销前利润_EBITDA,营业利润率(%)_Opeprfrt,成本费用利润率(%)_Totprfcostrt,流动比率(%)_Currt,速动比率(%)_Qckrt,超速动比率(%)_Supqckrt,产权比率(%)_Dbequrt,股东权益/负债合计_Equtotlia,股东权益/带息债务(%)_Equintdb,有形净值债务率(%)_Dbtanequrt,有形净值/净债务(%)_Tanastndb,经营净现金流量/负债合计_NOCFtotlia,长期负债与营运资金比率(NULL)_Ldbwrkcap,现金流动负债比_OpeCcurdb,每股收益增长率(%)_EPSgrrt,营业收入3年复合增长率()_OperaInc3GrRt,营业利润增长率(%)_Opeprfgrrt,利润总额增长率(%)_Totprfgrrt,净利润增长率(%)_Netprfgrrt,归属母公司的净利润过去五年平均增幅(%)_NPPCavggrrt,经营活动现金流量净额增长率(%)_NOCFgrrt,净资产收益率(摊薄)增长率(%)_ROAgrrt,净资产增长率(%)_Netassgrrt,总资产增长率(%)_Totassgrrt,股东权益相对年初增长率(%)_EquYTDgrrt,资产总计相对年初增长率(%)_TotastYTDgrrt,可持续增长率(%)_Susgrrt,营业周期(天/次)_Opecyc,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,应付账款周转率(次)_AccrPayrat,流动资产周转率(次)_Currat,固定资产周转率(次)_Fixassrat,股东权益周转率(次)_Equrat,总资产周转率(次)_Totassrat,销售商品劳务收入现金/营业收入(%)_SalesevOpeincm,销售现金比率(%)_Casrtsale,经营现金净流量/经营净收益(%)_NOCFONI,资本支出/折旧和摊销_CapexpDM,现金及其等价物净增加额(元)_CCEinc,经营现金净流量(元)_NOCF,自由现金流量(元)_FreeCF,净利润现金含量(元)_Netprfcascvr,营业收入现金含量(%)_Opeincmcashcvr,总资产现金回收率(%)_OpeCass,每股现金及现金等价物余额(元/股)_CCEPS,留存盈余比率(%)_Retearrt,资产负债率(%)_Dbastrt,长期借款/总资产(%)_Ldbass,应付债券/总资产(%)_Bdpayass,股东权益/全部投入资本(%)_Equtotcap,带息债务/全部投入资本(%)_Intdbtotcap,流动负债/负债合计(%)_Curtotlia,非流动负债/负债合计(%)_Noncurtotlia,股东权益比率(%)_Equass,营运资金(元)_Wrkcap,长期负债/股东权益_Ldbequ,经营活动净收益／利润总额(%)_OPItprf,经营活动净收益／利润总额(TTM)(%)_OPItprfTTM,对联营合营公司投资收益/利润总额(%)_Invretassoctprf,价值变动净收益／利润总额(%)_Valchgtprf,营业外收支净额／利润总额(%)_Noopenitprf,净利润/营业总收入(%)_NPTOIDP,净利润/利润总额(%)_NPTPDP,利润总额/息税前利润(%)_TPEBITDDP,息税前利润/营业总收入(%)_EBITTOIDDP,RGB_Red,RGB_Green,RGB_Blue,主营业务_MainBusiness,积极新闻舆情_Positive,消极新闻舆情_Nagative,消极/积极_Na/P,消极/中立_Na/Ne,监管确定_RegulatoryCertainty,劳动力流动_LabourMobility,资本流动_CapitalFlow,贸易流量_TradeFlow,全球经济增长地位_GlobalEconomicGrowthPosition,国民经济增长地位_NationEconomicGrowthPosition,法治程度_RuleOfLaw,有形产权_TangiblePropertyRights,无形产权_IntangiblePropertyRights,纠纷调解_DisputeResolution,税收优惠_TaxIncentive,税收负担_TaxBurden
73.5,39,C000016,康佳集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.1708,3.3658,19.1561,0.0557,0.4059,1.7739,2.2837,-1.3413,0.1396,2.6443,5.1095,2.365,7.6157,1.4495,6.2852,93.7148,0.291,2.1188,102.4651,4.9476,1.3916,0.8654,0.4918,411289744.7,977337135.9,1255225161,0.291,0.9772,0.9633,0.7213,0.5354,290.3696,34.4389,37.2921,408.5277,33.1356,-0.1372,,-0.1424,-91.8671,35.86,-97.9637,-93.1682,-86.8559,563.6842,25.136,-91.9779,1.3834,40.012,1.3834,40.012,3.4671,73,8.4943,11.676,,2.2648,23.0784,5.7304,1.6315,100.5136,-7.0021,,1.7491,336249778,-3229823873,822151189.8,-483.0594,100.5136,-11.4241,1.4262,41.4538,71.3465,0.0135,,27.1626,72.8374,96.3548,3.6452,28.6535,-832536665.7,0.0908,-249.9621,-249.9621,4.2074,210.6998,70.4904,1.4495,146.9825,46.5445,2.1188,250,14,27,10,0.6373,0.0147,0.0015,0.0231,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
71.5,43,C000020,深圳中恒华发股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.0116,1.1441,2.2498,0.0143,0.0591,-0.6469,-0.3736,-0.0773,-0.189,-0.0704,1.0223,0.5285,2.4669,0.5172,11.044,88.956,0.6351,2.6248,99.5689,2.2134,6.0459,1.6195,0.11,3295022.72,16721273.6,30149902.5,0.6351,0.7293,1.0928,0.8779,0.7707,90.4787,110.5232,116.9707,106.6751,113.145,-0.0747,0.0024,-0.0747,241.1765,8.45,-23.9139,81.4227,238.1559,-24.5742,-286.7609,234.6825,1.0275,-2.0123,1.0275,-2.0123,1.0275,114,9.1875,4.7971,,1.9063,3.4949,1.9764,1.0218,75.2311,-3.4369,-797.167,1.1217,-53513764.7,-21894459.66,-122542788,-664.4707,75.2311,-3.512,0.0987,100,47.5007,,,53.9108,46.0892,99.978,0.022,52.4993,27192827.95,0.0002,59.8118,59.8118,,7.1089,11.8861,0.5172,71.7564,27.4618,2.6248,19,144,75,3,0.0869,0.0435,0.0145,0.5006,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78.5,44,C000021,深圳长城开发科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.3603,4.2725,10.9165,0.4753,0.5188,1.8304,2.5851,0.286,0.1341,-0.4651,8.7308,3.5183,4.6262,3.5202,4.7006,95.2994,4.3544,4.7522,99.0616,0.3665,2.5747,-1.0564,0.2284,530073217.3,763255667.6,1292805660,4.3544,4.4777,1.1195,0.8758,0.6663,145.6058,68.6786,93.5521,167.3174,596.9216,0.046,0.1329,0.0467,-2.0658,1.49,-4.7169,-4.4811,-1.4852,59.44,-41.5331,-8.7617,7.3295,-6.3864,7.3295,-6.3864,6.974,45,7.9645,9.8779,9.6013,1.5084,6.4172,2.6454,0.9995,94.575,2.6198,279.1841,1.4654,197316894.2,420770432,-645078718.8,74.4236,94.575,2.6185,1.2293,72.2442,58.9001,,,48.3343,51.6657,98.4372,1.5628,41.0999,1076286364,0.0224,21.5639,21.5639,9.1476,5.1226,-0.0633,3.5202,80.8923,91.5708,4.7522,153,35,49,9,0.575,0.0125,0.0014,0.0217,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
73.5,66,C000045,深圳市纺织(集团)股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.04,4.642,2.4886,-0.1065,-0.1304,-0.113,0.0435,-0.9007,-0.0541,0.1213,-0.9634,-1.4136,-2.885,-4.8966,10.2256,89.7744,-4.281,-5.2408,109.7057,0.7574,6.9627,-0.0764,8.3584,-22980624.93,-66682289.95,34567815.72,-4.281,-4.31,2.9308,2.5004,1.1183,48.8648,204.6463,348.7435,49.8178,,-0.3971,0.0699,-0.4507,-140,1.22,-163.2125,-162.8947,-184.5795,-208.2661,-1514.7099,-143.9876,-1.0071,10.0925,-1.0071,10.0925,,112,3.1935,6.6095,8.2371,0.434,1.5479,0.5334,0.2887,92.5947,-36.1922,,3.7572,-27665904.11,-460494321.2,-3587388555,,92.5947,-10.448,2.2172,,25.1066,,,77.7156,22.2844,88.1013,11.8987,74.8934,1972794996,0.0399,,,,,,-4.8966,,,-5.2408,12,90,161,4,0.1282,0.0513,0.0128,0.4002,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
76,71,C000050,天马微电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.4599,12.6969,14.1161,0.4802,0.88,1.3457,1.4295,1.7407,-0.8086,-1.4854,4.2097,2.194,4.3845,3.4031,15.1907,84.8093,3.4019,6.2338,100.4756,1.6625,2.653,2.5377,2.1062,925542329.1,1802279467,5058773825,3.4019,3.8458,0.7662,0.6016,0.5314,130.8695,76.412,123.4476,149.7057,130.8107,0.1048,,0.1879,-31.7048,40.03,-41.2116,-39.4743,-35.8832,38.3818,7.1059,-41.3928,44.7336,9.6544,44.7336,9.6544,4.6277,110,8.5872,5.2179,4.817,1.9269,1.0523,1.315,0.5037,105.9119,12.3315,,1.7526,-1656106697,3565216924,929332568.5,362.3632,105.9119,6.2118,1.7989,84.5098,56.6855,0.1802,0.0166,55.2468,44.7532,55.755,44.245,43.3145,-4435344213,0.579,-13.4926,-13.4926,-0.7669,12.5785,3.4956,3.4031,96.5371,56.5491,6.2338,33,82,161,10,0.5648,0.0509,0.0051,0.0901,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78,79,C000063,中兴通讯股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-1.67,5.46,20.3959,-0.146,-1.6148,1.6656,2.2201,-2.2,-2.1407,1.7489,-25.6072,-5.0853,-12.3778,-8.1266,32.9137,67.0863,-0.7156,-7.9173,102.5097,10.6235,4.2701,0.3282,2.4287,-6983662000,-6770328000,-4297932000,-0.7156,-10.443,1.0388,0.759,0.5523,420.9619,23.7551,31.7435,1116.5646,18.0437,-0.0956,2.0206,-0.1031,-253.211,-5.14,-109.0245,-209.3955,-229.0178,76.7731,-227.6374,-311.2914,-27.6466,-10.1495,-27.6466,-10.1495,,257,2.2389,3.7249,,0.8505,9.7215,3.1355,0.6258,105.9297,-10.7766,,1.9746,-8975158000,-9215386000,5541381950,,105.9297,-6.7435,5.0407,,74.5184,0.0183,,24.0949,75.9051,92.7241,7.2759,25.4816,3470855000,0.2128,,,,,,-8.1266,,,-7.9173,23,144,210,9,0.752,0.0287,0.0032,0.0382,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
71,81,C000066,中国长城科技集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.336,2.1254,3.409,0.4522,0.4647,0.8233,0.908,0.0153,0.0882,0.46,15.2863,6.7707,10.9511,10.5536,21.9272,78.0728,13.2648,13.6328,96.4533,3.7683,6.0574,0.4262,0.9539,987100274.5,1364575992,1593327450,13.2648,14.9376,1.3195,1.0428,0.4798,149.8569,66.7303,92.2586,167.9907,164.3239,0.0048,0.952,0.0063,64.7059,-48.42,67.5777,68.9652,51.7582,83.8874,111.1409,81.6957,-6.5003,5.2668,-6.5003,5.2668,13.4733,83,4.3246,4.6091,,1.1515,5.297,1.5501,0.6416,93.0276,0.4482,12.6362,3.6073,259034820.3,44859987.74,-874222567.5,4.2466,93.0276,0.2875,1.0908,85.1273,58.4406,0.0777,,47.9867,52.0133,76.6775,23.3225,41.5594,2290972761,0.328,26.8824,26.8824,-0.1927,61.7195,-0.5397,10.5536,79.9909,96.7779,13.6328,23,58,115,7,0.5266,0.0575,0.0082,0.1092,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78,86,C000088,深圳市盐田港股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,0.24,3.4692,0.2078,0.2885,0.3234,1.6022,2.1165,0.0519,-0.0457,-0.3849,7.3033,5.2147,6.8306,126.8543,56.4122,43.5878,138.8801,155.6727,73.6999,0.9102,25.3786,1.1306,1.5452,474644068.5,628160935.5,695994628.6,138.8801,196.7826,2.2444,2.2432,1.8833,38.0783,262.6167,279.1988,39.4481,426.0092,0.0393,3.4242,0.2065,14.2857,17.47,19.2347,19.8882,18.2555,0.541,1.7244,9.0632,7.6287,11.1856,7.6287,11.1856,7.2732,27,393.6484,13.5653,,0.3458,0.3388,0.0621,0.0411,100.4503,24.9618,94.9114,14.2319,-88761325.93,100724316.9,-1049898397,19.6775,100.4503,1.0261,0.3994,88.9518,24.8228,0.1649,0.029,73.6286,26.3714,19.008,80.992,75.1772,606849026.4,0.2674,18.8221,18.8221,78.6437,1.7938,0.6082,126.8543,90.7853,89.7588,155.6727,13,27,77,3,0.5889,0.0555,0.0185,0.0942,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
79,87,C000089,深圳市机场股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,0.3257,5.6748,1.7551,0.4287,0.4033,2.8601,3.3117,0.5143,0.2092,0.0117,5.8579,5.1321,5.6433,18.9432,25.8848,74.1152,24.4274,22.979,78.1912,0.2349,2.8814,-1.3681,0.0147,668007718.9,827068254.7,1303561260,24.4274,32.0932,2.2296,2.2264,1.6005,15.434,647.9188,762.6423,15.9283,,0.5872,0.0023,0.5888,0.9922,6.82,-1.3074,-1.3657,1.0049,12.0729,-2.6378,-3.0602,4.1932,2.5659,4.1932,2.5659,4.4926,39,486.1848,9.3856,,0.9234,0.4807,0.3156,0.2709,106.2931,29.3016,134.357,1.6108,429106215.3,1054634660,-984459997.5,154.6819,106.2931,7.9384,0.4173,73.5982,13.351,,,88.4077,11.5923,99.7203,0.2797,86.649,2202416128,0.0004,89.5746,89.5746,10.1978,0.1467,-0.33,18.9432,77.8047,105.9535,22.979,251,13,27,3,0.2632,0.2105,0.0702,0.7998,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
76.5,91,C000100,TCL集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.2566,2.2506,8.3727,0.302,0.4506,0.7381,0.8993,0.7739,0.1787,0.6047,11.5144,2.3028,5.4948,3.5861,18.3085,81.6915,3.6071,5.3812,100.2223,7.8336,3.79,0.8579,1.3426,3468211000,6104839000,14075488000,3.6099,4.6311,1.0187,0.7664,0.6537,432.5136,23.1207,40.5352,643.0112,42.355,0.0795,36.0343,0.133,17.8145,2.72,-0.5038,3.2286,14.6838,45.0434,13.8656,26.9795,2.5122,20.2565,2.5122,20.2565,8.3974,108,5.6408,7.9967,4.2826,1.4145,3.3084,3.7664,0.6427,108.8946,9.2507,,4.1149,2421215000,10486579000,-69305597640,257.9599,108.8946,5.9404,1.8969,61.4476,68.4216,0.1912,0.0674,28.8435,71.1565,59.7726,40.2274,31.5784,1472397000,0.8716,-5.1017,-5.1017,27.5114,15.2778,17.2353,3.5833,82.2186,80.9912,5.3812,227,10,32,7,0.5917,0.08,0.0114,0.1352,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
