Comcd,PredicScore
C000020,68.7
C000088,74.45
C000089,71.2
C002055,76.45
C002106,71.4
C002138,73.25
C002288,63.95
C002359,64.9
C002475,75.35
C002587,72.95
C002618,68.1
C002654,73.3
C002681,68.85
C002792,68.25
C002815,77.5
C002835,66.3
C002885,71.85
C002930,72.0
C300083,69.45
C300134,68.15
C300297,74.55
C300322,72.6
C300389,74.1
C300408,71.9
C300460,64.05
C300468,68.6
C300518,71.35
C300532,69.35
C300533,73.5
C300543,71.35
C300546,71.0
C300561,67.75
C300570,67.55
C300686,66.1
C300687,73.4
C600183,77.15
C601333,73.55
C603920,70.0
