上市公司代码_Comcd,最新公司全称_Lcomnm,天眼查分数_Score,地区
C000016,康佳集团股份有限公司,98,广东
C000020,深圳中恒华发股份有限公司,93,广东
C000021,深圳长城开发科技股份有限公司,98,广东
C000045,深圳市纺织(集团)股份有限公司,95,广东
C000050,天马微电子股份有限公司,98,广东
C000063,中兴通讯股份有限公司,99,广东
C000066,中国长城科技集团股份有限公司,98,广东
C000088,深圳市盐田港股份有限公司,98,广东
C000089,深圳市机场股份有限公司,98,广东
C000100,TCL集团股份有限公司,99,广东
C000429,广东省高速公路发展股份有限公司,98,广东
C000507,珠海港股份有限公司,99,广东
C000555,神州数码信息服务股份有限公司,97,广东
C000636,广东风华高新科技股份有限公司,97,广东
C000823,广东汕头超声电子股份有限公司,98,广东
C000828,东莞发展控股股份有限公司,97,广东
C001872,招商局港口集团股份有限公司,96,广东
C002017,东信和平科技股份有限公司,97,广东
C002045,国光电器股份有限公司,95,广东
C002052,深圳市同洲电子股份有限公司,96,广东
C002055,深圳市得润电子股份有限公司,95,广东
C002063,远光软件股份有限公司,99,广东
C002106,深圳莱宝高科技股份有限公司,96,广东
C002130,深圳市沃尔核材股份有限公司,96,广东
C002137,深圳市麦达数字股份有限公司,96,广东
C002138,深圳顺络电子股份有限公司,96,广东
C002161,深圳市远望谷信息技术股份有限公司,96,广东
C002180,纳思达股份有限公司,95,广东
C002192,融捷股份有限公司,93,广东
C002238,深圳市天威视讯股份有限公司,96,广东
C002288,广东超华科技股份有限公司,98,广东
C002289,深圳市宇顺电子股份有限公司,91,广东
C002308,威创集团股份有限公司,97,广东
C002313,日海智能科技股份有限公司,94,广东
C002316,深圳亚联发展科技股份有限公司,94,广东
C002351,深圳市漫步者科技股份有限公司,96,广东
C002352,顺丰控股股份有限公司,99,广东
C002359,北讯集团股份有限公司,10,广东
C002369,深圳市卓翼科技股份有限公司,96,广东
C002387,维信诺科技股份有限公司,98,广东
C002388,深圳市新亚电子制程股份有限公司,94,广东
C002402,深圳和而泰智能控制股份有限公司,97,广东
C002421,深圳达实智能股份有限公司,98,广东
C002425,凯撒(中国)文化股份有限公司,98,广东
C002429,深圳市兆驰股份有限公司,99,广东
C002436,深圳市兴森快捷电路科技股份有限公司,98,广东
C002446,广东盛路通信科技股份有限公司,97,广东
C002449,佛山市国星光电股份有限公司,97,广东
C002456,欧菲光集团股份有限公司,98,广东
C002465,广州海格通信集团股份有限公司,98,广东
C002475,立讯精密工业股份有限公司,98,广东
C002492,珠海恒基达鑫国际化工仓储股份有限公司,97,广东
C002528,深圳英飞拓科技股份有限公司,97,广东
C002544,广州杰赛科技股份有限公司,96,广东
C002577,深圳雷柏科技股份有限公司,93,广东
C002579,惠州中京电子科技股份有限公司,97,广东
C002583,海能达通信股份有限公司,98,广东
C002587,深圳市奥拓电子股份有限公司,95,广东
C002600,广东领益智造股份有限公司,98,广东
C002609,深圳市捷顺科技实业股份有限公司,96,广东
C002618,深圳丹邦科技股份有限公司,94,广东
C002654,深圳万润科技股份有限公司,97,广东
C002660,茂硕电源科技股份有限公司,93,广东
C002681,深圳市奋达科技股份有限公司,98,广东
C002711,欧浦智网股份有限公司,98,广东
C002745,木林森股份有限公司,98,广东
C002766,深圳市索菱实业股份有限公司,91,广东
C002782,深圳可立克科技股份有限公司,95,广东
C002792,广东通宇通讯股份有限公司,95,广东
C002806,广东华锋新能源科技股份有限公司,91,广东
C002813,深圳市路畅科技股份有限公司,89,广东
C002815,崇达技术股份有限公司,95,广东
C002835,深圳市同为数码科技股份有限公司,89,广东
C002841,广州视源电子科技股份有限公司,95,广东
C002845,深圳同兴达科技股份有限公司,86,广东
C002855,东莞捷荣技术股份有限公司,93,广东
C002869,深圳市金溢科技股份有限公司,89,广东
C002876,深圳市三利谱光电科技股份有限公司,84,广东
C002881,美格智能技术股份有限公司,92,广东
C002885,深圳市京泉华科技股份有限公司,84,广东
C002888,广州惠威电声科技股份有限公司,85,广东
C002902,东莞铭普光磁股份有限公司,93,广东
C002906,惠州市华阳集团股份有限公司,97,广东
C002908,广东德生科技股份有限公司,93,广东
C002912,深圳市中新赛克科技股份有限公司,83,广东
C002916,深南电路股份有限公司,92,广东
C002930,广东宏川智慧物流股份有限公司,93,广东
C002938,鹏鼎控股(深圳)股份有限公司,98,广东
C300042,深圳市朗科科技股份有限公司,90,广东
C300043,星辉互动娱乐股份有限公司,99,广东
C300044,深圳市赛为智能股份有限公司,94,广东
C300047,深圳天源迪科信息技术股份有限公司,94,广东
C300050,珠海世纪鼎利科技股份有限公司,100,广东
C300052,深圳中青宝互动网络股份有限公司,93,广东
C300053,珠海欧比特宇航科技股份有限公司,96,广东
C300077,国民技术股份有限公司,96,广东
C300083,广东劲胜智能集团股份有限公司,98,广东
C300085,深圳市银之杰科技股份有限公司,96,广东
C300096,易联众信息技术股份有限公司,99,广东
C300098,高新兴科技集团股份有限公司,99,广东
C300115,深圳市长盈精密技术股份有限公司,97,广东
C300134,深圳市大富科技股份有限公司,96,广东
C300136,深圳市信维通信股份有限公司,97,广东
C300155,广东安居宝数码科技股份有限公司,96,广东
C300162,深圳雷曼光电科技股份有限公司,94,广东
C300167,深圳市迪威迅股份有限公司,94,广东
C300177,广州中海达卫星导航技术股份有限公司,95,广东
C300219,鸿利智汇集团股份有限公司,97,广东
C300227,深圳光韵达光电科技股份有限公司,90,广东
C300232,深圳市洲明科技股份有限公司,96,广东
C300235,深圳市方直科技股份有限公司,90,广东
C300241,深圳市瑞丰光电子股份有限公司,93,广东
C300242,广东佳兆业佳云科技股份有限公司,96,广东
C300264,深圳市佳创视讯技术股份有限公司,95,广东
C300277,深圳海联讯科技股份有限公司,94,广东
C300297,蓝盾信息安全技术股份有限公司,99,广东
C300301,深圳市长方集团股份有限公司,96,广东
C300303,深圳市聚飞光电股份有限公司,96,广东
C300310,宜通世纪科技股份有限公司,97,广东
C300311,任子行网络技术股份有限公司,95,广东
C300319,深圳市麦捷微电子科技股份有限公司,92,广东
C300322,惠州硕贝德无线科技股份有限公司,95,广东
C300333,深圳兆日科技股份有限公司,94,广东
C300340,江门市科恒实业股份有限公司,97,广东
C300348,深圳市长亮科技股份有限公司,93,广东
C300350,华鹏飞股份有限公司,39,广东
C300359,全通教育集团(广东)股份有限公司,98,广东
C300377,深圳市赢时胜信息技术股份有限公司,93,广东
C300389,深圳市艾比森光电股份有限公司,94,广东
C300408,潮州三环(集团)股份有限公司,98,广东
C300448,浩云科技股份有限公司,96,广东
C300454,深信服科技股份有限公司,94,广东
C300458,珠海全志科技股份有限公司,89,广东
C300460,广东惠伦晶体科技股份有限公司,93,广东
C300468,深圳四方精创资讯股份有限公司,89,广东
C300476,胜宏科技(惠州)股份有限公司,93,广东
C300514,深圳友讯达科技股份有限公司,85,广东
C300518,深圳市盛讯达科技股份有限公司,86,广东
C300531,深圳市优博讯科技股份有限公司,86,广东
C300532,深圳市今天国际物流技术股份有限公司,86,广东
C300533,深圳冰川网络股份有限公司,88,广东
C300543,深圳市朗科智能电气股份有限公司,84,广东
C300546,深圳市雄帝科技股份有限公司,84,广东
C300556,丝路视觉科技股份有限公司,89,广东
C300561,珠海汇金科技股份有限公司,88,广东
C300565,深圳市科信通信技术股份有限公司,91,广东
